Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
6/1/2016,2016,6,1,Wednesday,22,2016-22,10.56,10.56,10.56,10.56,0,9.51,0.000948004,9.464285714,9.4388
6/2/2016,2016,6,2,Thursday,22,2016-22,10.58,10.58,10.58,10.58,0,9.53,0.001893811,9.470714286,9.4424
6/3/2016,2016,6,3,Friday,22,2016-22,10.59,10.59,10.59,10.59,0,9.54,0.000945116,9.477857143,9.4464
6/6/2016,2016,6,6,Monday,23,2016-23,10.6,10.6,10.6,10.6,0,9.55,0.000944323,9.483571429,9.4506
6/7/2016,2016,6,7,Tuesday,23,2016-23,10.61,10.61,10.61,10.61,0,9.56,0.000943532,9.491428571,9.4552
6/8/2016,2016,6,8,Wednesday,23,2016-23,10.63,10.63,10.63,10.63,0,9.58,0.001884886,9.501428571,9.4596
6/9/2016,2016,6,9,Thursday,23,2016-23,10.61,10.61,10.61,10.61,0,9.56,-0.00188134,9.511428571,9.4632
6/10/2016,2016,6,10,Friday,23,2016-23,10.58,10.58,10.58,10.58,0,9.53,-0.002827629,9.517857143,9.4658
6/13/2016,2016,6,13,Monday,24,2016-24,10.56,10.56,10.56,10.56,0,9.51,-0.001890231,9.522857143,9.4678
6/14/2016,2016,6,14,Tuesday,24,2016-24,10.55,10.55,10.55,10.55,0,9.5,-0.000947106,9.525,9.4696
6/15/2016,2016,6,15,Wednesday,24,2016-24,10.55,10.55,10.55,10.55,0,9.5,0,9.525714286,9.472
6/16/2016,2016,6,16,Thursday,24,2016-24,10.55,10.55,10.55,10.55,0,9.5,0,9.526428571,9.4738
6/17/2016,2016,6,17,Friday,24,2016-24,10.55,10.55,10.55,10.55,0,9.5,0,9.526428571,9.4758
6/20/2016,2016,6,20,Monday,25,2016-25,10.58,10.58,10.58,10.58,0,9.53,0.00284361,9.528571429,9.4784
6/21/2016,2016,6,21,Tuesday,25,2016-25,10.57,10.57,10.57,10.57,0,9.52,-0.000945216,9.529285714,9.481
6/22/2016,2016,6,22,Wednesday,25,2016-25,10.56,10.56,10.56,10.56,0,9.51,-0.00094591,9.527857143,9.4832
6/23/2016,2016,6,23,Thursday,25,2016-25,10.59,10.59,10.59,10.59,0,9.54,0.002840717,9.527857143,9.4854
6/24/2016,2016,6,24,Friday,25,2016-25,10.53,10.53,10.53,10.53,0,9.49,-0.005665639,9.523571429,9.4864
6/27/2016,2016,6,27,Monday,26,2016-26,10.47,10.47,10.47,10.47,0,9.43,-0.005698022,9.514285714,9.486
6/28/2016,2016,6,28,Tuesday,26,2016-26,10.51,10.51,10.51,10.51,0,9.47,0.003820484,9.506428571,9.4862
6/29/2016,2016,6,29,Wednesday,26,2016-26,10.58,10.58,10.58,10.58,0,9.53,0.006660276,9.504285714,9.4874
6/30/2016,2016,6,30,Thursday,26,2016-26,10.61,10.61,10.61,10.61,0,9.56,0.002835647,9.506428571,9.4888
7/1/2016,2016,7,1,Friday,26,2016-26,10.64,10.64,10.64,10.64,0,9.58,0.002827529,9.511428571,9.4908
7/5/2016,2016,7,5,Tuesday,27,2016-27,10.62,10.62,10.62,10.62,0,9.57,-0.001879671,9.516428571,9.4926
7/6/2016,2016,7,6,Wednesday,27,2016-27,10.63,10.63,10.63,10.63,0,9.58,0.000941456,9.522142857,9.4948
7/7/2016,2016,7,7,Thursday,27,2016-27,10.65,10.65,10.65,10.65,0,9.59,0.00188154,9.528571429,9.4972
7/8/2016,2016,7,8,Friday,27,2016-27,10.69,10.69,10.69,10.69,0,9.63,0.003755714,9.537857143,9.5002
7/11/2016,2016,7,11,Monday,28,2016-28,10.7,10.7,10.7,10.7,0,9.64,0.000935589,9.545714286,9.5034
7/12/2016,2016,7,12,Tuesday,28,2016-28,10.73,10.73,10.73,10.73,0,9.67,0.002803746,9.556428571,9.5072
7/13/2016,2016,7,13,Wednesday,28,2016-28,10.72,10.72,10.72,10.72,0,9.66,-0.000932002,9.567142857,9.5106
7/14/2016,2016,7,14,Thursday,28,2016-28,10.72,10.72,10.72,10.72,0,9.66,0,9.575714286,9.5146
7/15/2016,2016,7,15,Friday,28,2016-28,10.71,10.71,10.71,10.71,0,9.65,-0.000932773,9.587142857,9.519
7/18/2016,2016,7,18,Monday,29,2016-29,10.72,10.72,10.72,10.72,0,9.66,0.000933644,9.603571429,9.5234
7/19/2016,2016,7,19,Tuesday,29,2016-29,10.7,10.7,10.7,10.7,0,9.64,-0.001865644,9.615714286,9.5274
7/20/2016,2016,7,20,Wednesday,29,2016-29,10.72,10.72,10.72,10.72,0,9.66,0.001869131,9.625,9.5316
